Tên chính thức,Tên giao dịch,Mã doanh nghiệp,Ngày cấp,Ngày bắt đầu hoạt động,Trạng thái,Địa chỉ,Điện thoại,Email,Giám đốc,SĐT giám đốc,Kế toán,SĐT kế toán,Nghành nghề
CHI NHÁNH THÀNH PHỐ CẦN THƠ CÔNG TY CỔ PHẦN DỊCH VỤ HẬU CẦN VTS,,0102399552-002,18/09/2020,18/09/2020,NNT đang hoạt động (đã được cấp GCN ĐKT),"Số 21 đường B19 Khu dân cư Hưng Phú 1, Phường Hưng Phú, Quận Cái Răng, Cần Thơ",,,,,,,"Hoạt động bảo vệ tư nhân  Vận tải hành khách đường bộ trong nội thành, ngoại thành (trừ vận tải bằng xe buýt)  Bán buôn máy móc, thiết bị và phụ tùng máy khác  Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê  Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải  Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu  Dịch vụ liên quan đến in  Nhà hàng và các dịch vụ ăn uống phục vụ lưu động  Đại lý ô tô và xe có động cơ khác  Bảo dưỡng, sửa chữa ô tô và xe có động cơ khác"
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH THẨM ĐỊNH GIÁ VNG VIỆT NAM TẠI CẦN THƠ,,0104807140-010,18/09/2020,18/09/2020,NNT đang hoạt động (đã được cấp GCN ĐKT),"2/21 Mậu Thân, Phường An Hòa, Quận Ninh Kiều, Cần Thơ",,,,,,,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ BANG WOO,"BANGWOO CO.,LTD",1801681761,18/09/2020,18/09/2020,NNT đang hoạt động (đã được cấp GCN ĐKT),"Số 251, Khu vực Phú Mỹ, Phường Thường Thạnh, Quận Cái Răng, Cần Thơ",,,Võ Nguyễn Nhựt Bằng,Võ Nguyễn Nhựt Bằng,,,"Lập trình máy vi tính  Dịch vụ thông tin khác chưa được phân vào đâu  Hoạt động thiết kế chuyên dụng  Hoạt động dịch vụ liên quan đến các cuộc gọi  Xây dựng nhà để ở  Xây dựng nhà không để ở  Xuất bản phần mềm  Quảng cáo  Nghiên cứu thị trường và thăm dò dư luận  Tổ chức giới thiệu và xúc tiến thương mại  Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng  Hoạt động xuất bản khác  Xử lý dữ liệu, cho thuê và các hoạt động liên quan  Đào tạo cao đẳng  Tư vấn máy vi tính và quản trị hệ thống máy vi tính  Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính  Photo, chuẩn bị tài liệu và các hoạt động hỗ trợ văn phòng đặc biệt khác  Đào tạo trung cấp  Giáo dục khác chưa được phân vào đâu  In ấn  Dịch vụ liên quan đến in  Sao chép bản ghi các loại  Hoạt động xây dựng chuyên dụng khác  Hoạt động thông tấn  Hoạt động nhiếp ảnh  Đào tạo sơ cấp  Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh  Bán lẻ hàng hóa đã qua sử dụng trong các cửa hàng chuyên doanh  Dịch vụ hỗ trợ giáo dục  Hoạt động sản xuất phim điện ảnh, phim video và chương trình truyền hình  Hoạt động viễn thông khác  Cổng thông tin  Hoạt động tư vấn quản lý"
CÔNG TY TNHH DỊCH VỤ KHÁCH SẠN ONE DAY,KS ONE DAY,1801681779,18/09/2020,18/09/2020,NNT đang hoạt động (đã được cấp GCN ĐKT),"77A, Phạm Ngọc Thạch, Phường Cái Khế, Quận Ninh Kiều, Cần Thơ",,,Thái Thanh Thịnh,Thái Thanh Thịnh,,,"Bán buôn đồ dùng khác cho gia đình  Bán buôn chuyên doanh khác chưa được phân vào đâu  Nhà hàng và các dịch vụ ăn uống phục vụ lưu động  Dịch vụ tắm hơi, massage và các dịch vụ tăng cường sức khoẻ tương tự (trừ hoạt động thể thao)  Bán buôn tổng hợp  Bán buôn đồ uống  Bán lẻ đồ uống trong các cửa hàng chuyên doanh  Bán buôn thực phẩm  Dịch vụ ăn uống khác  Kho bãi và lưu giữ hàng hóa  Dịch vụ lưu trú ngắn ngày  Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu"
"CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI, DỊCH VỤ VÀ GIÁO DỤC ĐĂNG KHÔI",CÔNG TY TNHH MTV TMDV VÀ GD ĐĂNG KHÔI,1801681786,18/09/2020,18/09/2020,NNT đang hoạt động (đã được cấp GCN ĐKT),"Số nhà 208/B3, đường Nguyễn Văn Linh, KDC 91B, Phường An Khánh, Quận Ninh Kiều, Cần Thơ",,,Trần Thế Vinh,Trần Thế Vinh,,,"Sản xuất sắt, thép, gang  Bán buôn thực phẩm  Gia công cơ khí; xử lý và tráng phủ kim loại  Sản xuất các cấu kiện kim loại  Đại lý, môi giới, đấu giá hàng hóa  Giáo dục khác chưa được phân vào đâu  Dịch vụ hỗ trợ giáo dục  Dịch vụ lưu trú ngắn ngày  Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu  Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống  Đúc sắt, thép  Hoạt động tư vấn quản lý  Bán lẻ đồ ngũ kim, sơn, kính và t.bị lắp đặt khác trong xây dựng trong các cửahàng chuyêndoanh  Nhà hàng và các dịch vụ ăn uống phục vụ lưu động  Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu  Bán buôn kim loại và quặng kim loại  Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng  Đúc kim loại màu  Rèn, dập, ép và cán kim loại; luyện bột kim loại"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SONG LONG PHÚ,CTY TNHH TM DV SONG LONG PHÚ,1801681793,18/09/2020,18/09/2020,NNT đang hoạt động (đã được cấp GCN ĐKT),"90, Trần Việt Châu, Phường An Hòa, Quận Ninh Kiều, Cần Thơ",,,Trần Thanh Tân,Trần Thanh Tân,,,"Đại lý, môi giới, đấu giá hàng hóa  Quảng cáo  Vận tải hành khách đường bộ khác"
CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ VIEBOO,,1801681377,18/09/2020,18/09/2020,NNT đang hoạt động (đã được cấp GCN ĐKT),"7 Trần Văn Hoài, Phường Xuân Khánh, Quận Ninh Kiều, Cần Thơ",,,Võ Minh Trí,Võ Minh Trí,Lưu Ngọc Diễm,,"Đại lý du lịch  Vận tải hành khách đường bộ trong nội thành, ngoại thành (trừ vận tải bằng xe buýt)  Dịch vụ phục vụ đồ uống  Vận tải hàng hóa bằng đường bộ  Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải  Cung cấp dịch vụ ăn uống theo hợp đồng không thường xuyên với khách hàng  Cho thuê xe có động cơ  Điều hành tua du lịch  Tổ chức giới thiệu và xúc tiến thương mại  Vận tải hành khách đường bộ khác  Nhà hàng và các dịch vụ ăn uống phục vụ lưu động  Dịch vụ ăn uống khác  Bán buôn đồ uống  Bán buôn đồ dùng khác cho gia đình  Dịch vụ đặt chỗ và các dịch vụ hỗ trợ liên quan đến quảng bá và tổ chức tua du lịch  Dịch vụ lưu trú ngắn ngày"
CÔNG TY TNHH KANKA,,1801681842,18/09/2020,18/09/2020,NNT đang hoạt động (đã được cấp GCN ĐKT),"693, Khu vực Thạnh Hòa, Phường Phú Thứ, Quận Cái Răng, Cần Thơ",,,Trần Quốc Huy,Trần Quốc Huy,,,"Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan  Bán buôn đồ dùng khác cho gia đình"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TIN HỌC NGUYÊN THỊNH,NGUYEN THINH TRADING SERVICES ELECTRICTRONIC COMPANY LIMITED,1801681867,18/09/2020,18/09/2020,NNT đang hoạt động (đã được cấp GCN ĐKT),"216/23, Tầm Vu, Phường Hưng Lợi, Quận Ninh Kiều, Cần Thơ",,,Nguyễn Văn Tuấn,Nguyễn Văn Tuấn,,,"Lập trình máy vi tính  Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác không kèm người điều khiển  Sản xuất sơn, véc ni và các chất sơn, quét tương tự; sản xuất mực in và ma tít  Cho thuê xe có động cơ  Sửa chữa thiết bị, đồ dùng gia đình  Sửa chữa máy vi tính và thiết bị ngoại vi  Dịch vụ liên quan đến in  Lắp đặt hệ thống điện  Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và t.bị viễn thông trong các cửa hàng chuyên doanh  Sửa chữa máy móc, thiết bị  Sửa chữa thiết bị điện tử và quang học  Lắp đặt hệ thống cấp, thoát nước, hệ thống sưởi và điều hoà không khí  Bán buôn máy móc, thiết bị và phụ tùng máy khác  Bán buôn đồ dùng khác cho gia đình"
CÔNG TY TNHH NĂNG LƯỢNG MỚI MINH THÔNG,,1801681881,18/09/2020,18/09/2020,NNT đang hoạt động (đã được cấp GCN ĐKT),"Số 181, đường B5, KDC Hưng Phú 1, KV8, Phường Hưng Phú, Quận Cái Răng, Cần Thơ",,,Nguyễn Thị Thùy Trang,Nguyễn Thị Thùy Trang,,,"Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất  Cung ứng lao động tạm thời  Sửa chữa thiết bị liên lạc  Sửa chữa thiết bị, đồ dùng gia đình  Sản xuất linh kiện điện tử  Xây dựng nhà để ở  Bán buôn tổng hợp  Bưu chính  Hoạt động chuyên môn, khoa học và công nghệ khác chưa được phân vào đâu  Lập trình máy vi tính  Sản xuất khác chưa được phân vào đâu  Sửa chữa máy móc, thiết bị  Sửa chữa thiết bị điện  Xây dựng công trình cấp, thoát nước  Xây dựng công trình công ích khác  Xây dựng công trình khai khoáng  Đại lý, môi giới, đấu giá hàng hóa  Bán buôn thiết bị và linh kiện điện tử, viễn thông  Xây dựng công trình thủy  Xây dựng công trình chế biến, chế tạo  Phá dỡ  Chuẩn bị mặt bằng  Hoàn thiện công trình xây dựng  Hoạt động xây dựng chuyên dụng khác  Bán buôn chuyên doanh khác chưa được phân vào đâu  Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính  Sản xuất thiết bị đo lường, kiểm tra, định hướng và điều khiển  Sản xuất thiết bị điện khác  Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác không kèm người điều khiển  Tổ chức giới thiệu và xúc tiến thương mại  Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu  Sản xuất thiết bị truyền thông  Sản xuất sản phẩm điện tử dân dụng  Sửa chữa thiết bị điện tử và quang học  Xây dựng công trình đường sắt  Xây dựng công trình kỹ thuật dân dụng khác  Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm  Vận tải hàng hóa bằng đường bộ  Hoạt động viễn thông không dây  Lắp đặt máy móc và thiết bị công nghiệp  Lắp đặt hệ thống xây dựng khác  Hoạt động viễn thông có dây  Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu  Gia công cơ khí; xử lý và tráng phủ kim loại  Xây dựng công trình đường bộ  Xây dựng công trình viễn thông, thông tin liên lạc  Kiểm tra và phân tích kỹ thuật  Sửa chữa thiết bị khác  Sản xuất điện  Xây dựng nhà không để ở  Xây dựng công trình điện  Lắp đặt hệ thống cấp, thoát nước, hệ thống sưởi và điều hoà không khí  Bán buôn máy móc, thiết bị và phụ tùng máy khác  Hoạt động viễn thông khác  Hoạt động tư vấn quản lý  Lắp đặt hệ thống điện  Bán buôn vải, hàng may mặc, giày dép  Bán buôn đồ dùng khác cho gia đình  Sửa chữa thiết bị nghe nhìn điện tử gia dụng"
VĂN PHÒNG LUẬT SƯ PHẠM VĂN THẢO,,1801681909,18/09/2020,09/09/2020,NNT đang hoạt động (đã được cấp GCN ĐKT),"Số 81, đường Xuân Thủy, Phường An Bình, Quận Ninh Kiều, Cần Thơ",,,,,,,Hoạt động pháp luật
CỬA HÀNG CẦN THƠ - CÔNG TY TRÁCH NHIỆM HỮU HẠN THỜI TRANG HẠNH,,0303045923-021,17/09/2020,03/05/2019,NNT đang hoạt động (đã được cấp GCN ĐKT),"Lô L1-F7, TTTM Lotte Mart Cần Thơ, số 84, đường Mậu Thân, Phường An Hòa, Quận Ninh Kiều, Cần Thơ",,,Phạm Mai Hân,Phạm Mai Hân,,,"Bán buôn vải, hàng may mặc, giày dép"
CÔNG TY TNHH ĐẦU TƯ KINH DOANH LƯƠNG THỰC THỰC PHẨM VĨNH THẠNH,VINH THANH FOOD,1801681338,17/09/2020,17/09/2020,NNT đang hoạt động (đã được cấp GCN ĐKT),"K14, Đường số 45, KDC 586, Phường Phú Thứ, Quận Cái Răng, Cần Thơ",,,Hà Văn Trung,Hà Văn Trung,,,"Trồng cây lấy củ có chất bột  Trồng cây mía  Trồng cây điều  Chăn nuôi lợn và sản xuất giống lợn  Xử lý hạt giống để nhân giống  Chế biến sữa và các sản phẩm từ sữa  Sản xuất các loại bánh từ bột  Sản xuất món ăn, thức ăn chế biến sẵn  Sản xuất thuốc trừ sâu và sản phẩm hoá chất khác dùng trong nông nghiệp  Sửa chữa máy móc, thiết bị  Bán buôn thực phẩm  Bán buôn đồ dùng khác cho gia đình  Bán buôn máy móc, thiết bị và phụ tùng máy nông nghiệp  Bán lẻ thực phẩm trong các cửa hàng chuyên doanh  Kho bãi và lưu giữ hàng hóa  Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu  Trồng cây lâu năm khác  Bán lẻ khác trong các cửa hàng kinh doanh tổng hợp  Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh  Bốc xếp hàng hóa  Hoạt động dịch vụ hỗ trợ trực tiếp cho vận tải đường bộ  Sản xuất mì ống, mỳ sợi và sản phẩm tương tự  Sản xuất thực phẩm khác chưa được phân vào đâu  Sản xuất bia và mạch nha ủ men bia  Bán lẻ hàng hóa khác lưu động hoặc tại chợ  Trồng cây chè  Chăn nuôi gia cầm  Chế biến, bảo quản thuỷ sản và các sản phẩm từ thuỷ sản  Chế biến và bảo quản rau quả  Sản xuất dầu, mỡ động, thực vật  Xay xát và sản xuất bột thô  Trồng ngô và cây lương thực có hạt khác  Trồng cây lấy sợi  Trồng cây gia vị, cây dược liệu, cây hương liệu lâu năm  Sản xuất đường  Sản xuất thuốc, hoá dược và dược liệu  Bán buôn tổng hợp  Bán lẻ đồ uống trong các cửa hàng chuyên doanh  Trồng cây ăn quả  Hoạt động dịch vụ trồng trọt  Hoạt động dịch vụ sau thu hoạch  Sản xuất tinh bột và các sản phẩm từ tinh bột  Bán buôn gạo, lúa mỳ, hạt ngũ cốc khác, bột mỳ  Trồng cây thuốc lá, thuốc lào  Trồng cây hồ tiêu  Trồng cây cà phê  Nhân và chăm sóc cây giống lâu năm  Chế biến, bảo quản thịt và các sản phẩm từ thịt  Sản xuất thức ăn gia súc, gia cầm và thuỷ sản  Sản xuất đồ uống không cồn, nước khoáng  Sản xuất phân bón và hợp chất ni tơ  Sản xuất máy nông nghiệp và lâm nghiệp  Bán buôn đồ uống  Bán buôn chuyên doanh khác chưa được phân vào đâu  Trồng lúa  Trồng cây có hạt chứa dầu  Trồng cây hàng năm khác  Trồng cây cao su  Nhân và chăm sóc cây giống hàng năm  Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống  Trồng rau, đậu các loại và trồng hoa  Hoạt động dịch vụ chăn nuôi  Sản xuất ca cao, sôcôla và bánh kẹo  Dịch vụ chăm sóc và duy trì cảnh quan"
